"(-123.18581390380857, 49.21712112426342)","(-123.16425323486324, 49.213226318355225)","(-123.05572509765624, 49.209148406978265)","(-123.14535522460938, 49.271957397456816)","(-123.11593627929688, 49.244503021236085)","(-123.06974029541016, 49.20672988891185)","(-123.1552734375, 49.2345237731892)","(0.0, 0.0)","(-123.14374542236328, 49.27323150634351)","(0.0, 0.0)","(-123.02953338623048, 49.26270675658765)","(-123.11872100830077, 49.20285797118726)","(-123.1182098388672, 49.240352630611085)","(-123.09612274169923, 49.26676940917555)","(0.0, 0.0)","(-123.06444549560548, 49.232864379878656)","(-123.09612274169923, 49.26676940917555)","(0.0, 0.0)","(-123.03585815429688, 49.23410415649)","(-123.0814971923828, 49.20647811889233)","(-123.22174835205077, 49.2702598571736)"
"(-123.18633270263668, 49.217391967769295)","(-123.16365051269528, 49.21308517455639)","(-123.05545806884768, 49.20962524413646)","(-123.14540100097656, 49.2718467712361)","(-123.1160125732422, 49.24443817138258)","(-123.07006072998048, 49.20679473876538)","(-123.1550827026367, 49.23939895629468)","(0.0, 0.0)","(-123.1392822265625, 49.27482604980055)","(0.0, 0.0)","(-123.02969360351564, 49.262596130366944)","(-123.11890411376952, 49.20273208617747)","(-123.11824798583984, 49.240402221675545)","(-123.09619903564452, 49.26677703857008)","(0.0, 0.0)","(-123.06674194335938, 49.23255538940015)","(-123.0899963378906, 49.26672744750563)","(0.0, 0.0)","(-123.03645324707033, 49.233428955073975)","(-123.08839416503908, 49.20477676391185)","(-123.22431945800778, 49.27226638793532)"
"(-123.18682098388668, 49.21767807006421)","(-123.16310882568357, 49.21296310424388)","(-123.05509948730467, 49.21189498900952)","(-123.14598846435548, 49.25712203979079)","(-123.1160888671875, 49.24437332152907)","(-123.07438659667967, 49.20759963988842)","(-123.15506744384764, 49.23947906493727)","(0.0, 0.0)","(-123.13768005371092, 49.27531814574782)","(0.0, 0.0)","(-123.02986145019533, 49.262496948238045)","(-123.11907196044922, 49.20259857177319)","(-123.1182861328125, 49.240447998042725)","(-123.09628295898436, 49.26678848266187)","(0.0, 0.0)","(-123.07703399658205, 49.23266601562084)","(-123.08967590332033, 49.26670837401931)","(0.0, 0.0)","(-123.03650665283205, 49.23337554931226)","(-123.08956146240234, 49.20444488524975)","(-123.22484588623044, 49.274654388423606)"
"(-123.18728637695312, 49.217979431148194)","(-123.16258239746092, 49.21282196044505)","(-123.05507659912108, 49.21202087401929)","(-123.16487884521484, 49.25741958617749)","(-123.11617279052736, 49.24431228637281)","(-123.07478332519533, 49.2076454162556)","(-123.15503692626952, 49.23956298827711)","(0.0, 0.0)","(-123.12928009033205, 49.26953124999586)","(0.0, 0.0)","(-123.03004455566408, 49.2624015808064)","(-123.11923217773438, 49.202457427974366)","(-123.1183166503906, 49.24050140380445)","(-123.0963592529297, 49.266803741450936)","(0.0, 0.0)","(-123.09053802490232, 49.232822418208734)","(-123.08936309814456, 49.266674041743904)","(0.0, 0.0)","(-123.0365676879883, 49.23331832885327)","(-123.08972930908205, 49.20438385009349)","(-123.22457122802732, 49.27789688109938)"
"(-123.18772888183592, 49.21829986571849)","(-123.16207122802732, 49.21266174315991)","(-123.05503845214844, 49.21214675902904)","(-123.16487884521484, 49.25756835937086)","(-123.11626434326172, 49.24425125121655)","(-123.0751724243164, 49.20767593383373)","(-123.15500640869138, 49.23964309691969)","(0.0, 0.0)","(-123.1211624145508, 49.2695388793904)","(0.0, 0.0)","(-123.0302276611328, 49.26231002807204)","(-123.119384765625, 49.20231246947825)","(-123.11834716796876, 49.24055099486889)","(-123.096435546875, 49.26681900024)","(0.0, 0.0)","(-123.08984375, 49.25637817382398)","(-123.0890579223633, 49.26663208007399)","(0.0, 0.0)","(-123.03662872314452, 49.23326492309155)","(-123.08989715576172, 49.20432662963452)","(-123.22444915771484, 49.27892303466384)"
"(-123.18795013427732, 49.21846389770093)","(-123.16156768798828, 49.21248626708569)","(-123.05499267578124, 49.212268829341554)","(-123.1839904785156, 49.25786590575759)","(-123.11635589599608, 49.24419784545484)","(-123.07556915283205, 49.20769500732007)","(-123.15496826171874, 49.23972320556226)","(0.0, 0.0)","(-123.1144485473633, 49.271774291988045)","(0.0, 0.0)","(-123.03042602539064, 49.26222991942946)","(-123.11952209472656, 49.202159881587626)","(-123.11837005615236, 49.240604400630616)","(-123.09651184082033, 49.266838073726326)","(0.0, 0.0)","(-123.07779693603514, 49.25619888305251)","(-123.08874511718751, 49.26657867431227)","(0.0, 0.0)","(-123.03669738769533, 49.2332153320271)","(-123.09007263183597, 49.20427703857007)","(0.0, 0.0)"
"(-123.1881866455078, 49.21861648559156)","(-123.1610870361328, 49.21229171752515)","(-123.054931640625, 49.21239089965405)","(-123.18392944335936, 49.25976562499586)","(-123.1181411743164, 49.24317932128493)","(-123.07596588134766, 49.20769500732006)","(-123.15492248535158, 49.23979949950756)","(0.0, 0.0)","(-123.11504364013672, 49.25687026977125)","(0.0, 0.0)","(-123.03062438964844, 49.26215362548414)","(-123.1196517944336, 49.202014923091554)","(-123.11839294433597, 49.240657806392335)","(-123.09658813476562, 49.26686096190991)","(0.0, 0.0)","(-123.07778930664062, 49.25663375854078)","(-123.08196258544923, 49.26527023315016)","(0.0, 0.0)","(-123.0367660522461, 49.23316955565991)","(-123.09024810791016, 49.20423507690013)","(0.0, 0.0)"
"(-123.18843841552732, 49.21876144408764)","(-123.16061401367185, 49.21208190917553)","(-123.0548629760742, 49.21251296996656)","(-123.18593597412108, 49.26113891601148)","(-123.11817932128908, 49.24314117431226)","(-123.0763626098633, 49.207683563228265)","(-123.15487670898436, 49.23987960815015)","(0.0, 0.0)","(-123.12721252441408, 49.25709915160719)","(0.0, 0.0)","(-123.03083038330078, 49.26208496093336)","(-123.11979675292967, 49.201877593989984)","(-123.118408203125, 49.24071121215405)","(-123.0966567993164, 49.26688385009351)","(0.0, 0.0)","(-123.07758331298828, 49.25662612914625)","(-123.08179473876956, 49.26523590087477)","(0.0, 0.0)","(-123.0368423461914, 49.23312377929272)","(-123.0904312133789, 49.20419692992749)","(0.0, 0.0)"
"(-123.18869781494138, 49.21889877318919)","(-123.1601638793945, 49.21185302733958)","(-123.0547866821289, 49.21262741088452)","(-123.18548583984374, 49.27497100829665)","(-123.1182098388672, 49.24309921264233)","(-123.07675170898438, 49.207656860347406)","(-123.1548156738281, 49.23995208739821)","(0.0, 0.0)","(-123.12721252441408, 49.25696945190016)","(0.0, 0.0)","(-123.03104400634766, 49.26202774047437)","(-123.11995697021486, 49.20174026488841)","(-123.11842346191406, 49.24076461791577)","(-123.0967254638672, 49.26691055297437)","(0.0, 0.0)","(-123.07746887207033, 49.2623367309529)","(-123.08162689208984, 49.26520919799391)","(0.0, 0.0)","(-123.0369186401367, 49.2330818176228)","(-123.09061431884768, 49.20416641234935)","(0.0, 0.0)"
"(-123.18896484375, 49.219024658198975)","(-123.15972900390622, 49.211612701411866)","(-123.05469512939452, 49.2127418518025)","(-123.17374420166014, 49.27434158324782)","(-123.11824035644533, 49.24305725097241)","(-123.0771484375, 49.20761489867749)","(-123.15475463867186, 49.24002456664624)","(0.0, 0.0)","(-123.13176727294922, 49.2570304870564)","(0.0, 0.0)","(-123.03126525878906, 49.261974334712654)","(-123.12012481689452, 49.2016105651814)","(-123.11842346191406, 49.24081802367749)","(-123.09679412841795, 49.266941070552505)","(0.0, 0.0)","(-123.05658721923828, 49.26217651366774)","(-123.08145904541016, 49.26518630981031)","(0.0, 0.0)","(-123.03700256347656, 49.23304367065013)","(-123.0907974243164, 49.20414352416576)","(0.0, 0.0)"
